Evento ,Departamento ,Municipio ,Fecha ,Año ,Lugar ,Muertos ,Heridos ,Desaparecidos ,Viviendas Destruídas ,Viviendas Afectadas ,Damnificados ,Afectados ,Reubicados ,Evacuados ,Pérdidas $USD ,Pérdidas $Local ,Centros Educativos ,Centros Médicos ,Daños cultivos Ha ,Ganado ,Daños en vías Mts ,Número GLIDE ,Observaciones
PLAGUE, YORO, YORO,2015-03-0,, Yoro , , , , , , , , , ,0,20810344.35, , ,29914.87,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, YORO, YORITO,2015-03-0,, Yorito , , , , , , , , , ,0,1546580.87, , ,2223.21,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, YORO, VICTORIA,2015-03-0,, Victoria , , , , , , , , , ,0,1139241.73, , ,1637.66,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, YORO, SULACO,2015-03-0,, Sulaco , , , , , , , , , ,0,1336486.95, , ,1921.2,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, YORO, SANTA RITA,2015-03-0,, Santa Rita , , , , , , , , , ,0,17064.34, , ,24.53,0, , ,Bosque afectado por gorgojo 
PLAGUE, YORO, OLANCHITO,2015-03-0,, Olanchito , , , , , , , , , ,0,11747450.43, , ,16886.96,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, YORO, MORAZAN,2015-03-0,, Morazan , , , , , , , , , ,0,1919172.17, , ,2758.81,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, YORO, JOCON,2015-03-0,, Jocon , , , , , , , , , ,0,4238532.17, , ,6092.89,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, YORO, EL NEGRITO,2015-03-0,, El Negrito , , , , , , , , , ,0,951464.34, , ,1367.73,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, YORO, ARENAL,2015-03-0,, Arenal , , , , , , , , , ,0,3425064.34, , ,4923.53,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, VALLE, NACAOME,2014-04-0,, Nacaome , , , , , , , , , ,0,3798.26, , ,5.46,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, VALLE, LANGUE,2014-04-0,, Langue , , , , , , , , , ,0,8904.34, , ,12.8,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, VALLE, CARIDAD,2014-04-0,, Caridad , , , , , , , , , ,0,2156.52, , ,3.1,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, VALLE, ARAMECINA,2014-04-0,, Aramecina , , , , , , , , , ,0,27.82, , ,0.04,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, TRINIDAD,2015-03-0,, Trinidad , , , , , , , , , ,0,59784.34, , ,85.94,0, , ,Bosque de pino afectado por gorgojo 
PLAGUE, STA BARBARA, SANTA RITA,2015-03-0,, Santa Rita , , , , , , , , , ,0,22469.56, , ,32.3,0, , ,Bosque de pino afectado por gorgojo 
